t_DVL,WX,WY,WZ,BX,BY,BZ,t_imu,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,t_filter,PN,PE,Sample period (seconds),Time Since Start of Day (seconds),No of GPS Satellites Available,Latitude (degrees),Longitude (degrees),Velocity (km/hr),Indicated Vehicle Speed (km/hr),Wheel Speed Front Left (rad/sec),Wheel Speed Front Right (rad/sec),Wheel Speed Rear Left (rad/sec),Wheel Speed Rear Right (rad/sec),Steering Angle (degrees),Yaw Rate (deg/sec),Indicated Longitudinal Acceleration (g),Indicated Lateral Acceleration (g),Heading (degrees)
2017/08/23/12:21:49.585310,0.034,0.118,0.0,0.006,0.202,0.154,2017/08/23/12:21:49.589009,1.62398124,-9.30454952,-0.5099458,-0.002094395,0.159523094,-0.301941961,0.2082,0.3854,-0.2889,2017/08/23/12:21:49.588565,21.43836889,36.83199968,0.244145,2.7791423701898843,10,0.00019258326347466762,0.0003308659690980956,0.44208234527065204,0.44208234527065204,0.12280065146407002,0.12280065146407002,0.12280065146407002,0.12280065146407002,0.0,-17.3000000232037,0.1655434495412844,-0.051982242609582056,247.51612019357987
2017/08/23/12:21:49.833411,-0.021,-0.19,-0.038,-0.031,-0.043,0.196,2017/08/23/12:21:49.832545,2.24376152,-8.77891308,-0.392266,-0.218515222,0.255516202,-0.304734487,0.1853,0.3943,-0.276,2017/08/23/12:21:49.835726,21.42670858,36.82175529,0.243536,3.0226783701898845,10,0.00019247851760689902,0.0003307739425979159,0.6881652127214801,0.6881652127214801,0.19115700353374449,0.19115700353374449,0.19115700353374449,0.19115700353374449,0.0,-17.45999997718425,0.22872186748216106,-0.039986340468909275,221.30154570486025
2017/08/23/12:21:50.082833,0.078,-0.144,0.043,-0.05,-0.253,0.216,2017/08/23/12:21:50.084445,3.20089056,-9.00642736,-0.65900688,-0.264591915,0.300545697,0.016755161,0.1773,0.4069,-0.2419,2017/08/23/12:21:50.084746,21.39097934,36.87570157,0.2519,3.2745783701898845,10,0.00019215755785123969,0.0003312585480596478,0.589565263562907,0.589565263562907,0.16376812876747415,0.16376812876747415,0.16376812876747415,0.16376812876747415,0.0,0.960000010362196,0.32628853822629966,-0.06717705198776758,123.51696551880471
2017/08/23/12:21:50.361500,-0.143,-0.302,-0.063,-0.089,-0.362,0.114,2017/08/23/12:21:50.360661,2.36144132,-9.43007464,-0.84729456,-0.108559479,0.356396233,0.463559449,0.2126,0.4074,-0.2066,2017/08/23/12:21:50.363052,21.40073899,36.91326127,0.276216,3.5507943701898848,10,0.00019224522987782968,0.000331595951042041,1.202922640904227,1.202922640904227,0.33414517802895194,0.33414517802895194,0.33414517802895194,0.33414517802895194,0.0,26.559999981109932,0.24071776962283384,-0.08637049541284404,75.43417443121848
2017/08/23/12:21:50.618136,-0.175,-0.334,-0.122,-0.158,-0.394,-0.01,2017/08/23/12:21:50.621015,1.4121576,-9.75957808,-0.85513988,0.024085544,0.380481777,0.505796417,0.27,0.3829,-0.1812,2017/08/23/12:21:50.619522,21.40576015,36.96495034,0.260354,3.8111483701898847,10,0.00019229033551922386,0.0003320602797340999,1.3574482531573717,1.3574482531573717,0.377068959210381,0.377068959210381,0.377068959210381,0.377068959210381,0.0,28.979999986939042,0.14395082568807338,-0.08717022222222222,84.45160392241546
2017/08/23/12:21:50.878356,-0.187,-0.374,-0.103,-0.148,-0.41,-0.035,2017/08/23/12:21:50.880761,0.07060788,-9.65758892,-0.63547092,0.028274334,0.370707933,0.468097305,0.3312,0.3517,-0.1635,2017/08/23/12:21:50.879712,21.40686125,37.0266198,0.259746,4.070894370189885,10,0.00019230022682357168,0.0003326142633848365,1.5053209624528583,1.5053209624528583,0.41814471179246065,0.41814471179246065,0.41814471179246065,0.41814471179246065,0.0,26.819999977948047,0.007197541284403669,-0.06477787155963304,88.97710017259526
2017/08/23/12:21:51.132730,-0.061,-0.304,-0.046,-0.075,-0.448,-0.015,2017/08/23/12:21:51.132569,-0.69823348,-9.36731208,-0.71392412,-0.066671577,0.366170077,0.183608637,0.3738,0.3294,-0.1391,2017/08/23/12:21:51.134104,21.3628731,37.12782826,0.251808,4.322702370189885,10,0.0001919050763564499,0.00033352343029105285,1.1162148180345932,1.1162148180345932,0.3100596716762759,0.3100596716762759,0.3100596716762759,0.3100596716762759,0.0,10.51999998224957,-0.0711756860346585,-0.07277513965341488,113.49117204065907
2017/08/23/12:21:51.383390,-0.086,-0.351,-0.073,-0.017,-0.465,-0.045,2017/08/23/12:21:51.384679,-0.68254284,-9.32808548,-0.81591328,-0.087266463,0.339641072,-0.013962634,0.3856,0.3233,-0.1049,2017/08/23/12:21:51.385168,21.36557338,37.21140942,0.25211,4.574812370189885,10,0.00019192933327344592,0.00033427424919152,1.3009754494224708,1.3009754494224708,0.36138206928401967,0.36138206928401967,0.36138206928401967,0.36138206928401967,0.0,-0.7999999990858667,-0.06957623241590213,-0.08317158817533128,88.14957278831054
2017/08/23/12:21:51.658561,-0.099,-0.296,-0.203,0.036,-0.405,-0.17,2017/08/23/12:21:51.660888,-0.25105024,-9.35946676,-0.75315072,-0.025132741,0.323933109,-0.179768913,0.3875,0.3344,-0.0743,2017/08/23/12:21:51.650422,21.35478781,37.26310591,0.276209,4.851021370189884,10,0.00019183244529284946,0.00033473864453826803,1.1236210749180526,1.1236210749180526,0.3121169652550146,0.3121169652550146,0.3121169652550146,0.3121169652550146,0.0,-10.300000002554478,-0.025591257900101933,-0.07677377370030582,101.78471809559998
2017/08/23/12:21:51.916514,-0.189,-0.13,-0.239,0.006,-0.327,-0.313,2017/08/23/12:21:51.912846,0.2353596,-9.50852784,-0.79237732,0.036651914,0.340339204,-0.093898714,0.3751,0.3465,-0.0495,2017/08/23/12:21:51.934502,21.36928589,37.36893127,0.251958,5.1029793701898845,10,0.0001919626831656486,0.0003356892855731225,0.8258136351502076,0.8258136351502076,0.2293926764306132,0.2293926764306132,0.2293926764306132,0.2293926764306132,0.0,-5.380000013905976,0.023991804281345563,-0.08077240774719674,82.19903868200448
